index,node1,node2,reactance,transLimit
1,1,2,0.0999,220
2,1,3,0.0424,220
3,2,12,0.0616,220
4,3,5,0.108,220
5,3,12,0.16,220
6,4,5,0.00798,440
7,4,11,0.0688,220
8,5,6,0.054,220
9,5,11,0.0682,220
10,6,7,0.0208,220
11,7,12,0.034,220
12,8,9,0.0305,1100
13,8,5,0.0267,880
14,8,30,0.0504,220
15,9,10,0.0322,1100
16,11,12,0.0196,220
17,11,13,0.0731,220
18,12,15,0.0707,220
19,12,17,0.0834,220
20,12,117,0.14,220
21,13,15,0.2444,220
22,14,15,0.195,220
23,15,17,0.0437,440
24,15,19,0.0394,220
25,15,33,0.1244,220
26,16,17,0.1801,220
27,17,19,0.0505,220
28,17,31,0.1563,220
29,17,113,0.0301,220
30,18,19,0.0493,220
31,19,20,0.117,220
32,19,34,0.247,220
33,20,21,0.0849,220
34,21,22,0.097,220
35,22,23,0.159,220
36,23,24,0.0492,220
37,23,25,0.08,440
38,23,32,0.1153,220
39,24,70,0.4115,220
40,24,72,0.196,220
41,25,27,0.163,440
42,26,25,0.0382,220
43,26,30,0.086,660
44,27,28,0.0855,220
45,27,32,0.0755,220
46,27,115,0.0741,220
47,28,31,0.0943,220
48,29,31,0.0331,220
49,30,17,0.0388,660
50,30,38,0.054,220
51,31,32,0.0985,220
52,32,113,0.203,220
53,32,114,0.0612,220
54,33,37,0.142,220
55,34,36,0.0268,220
56,34,37,0.0094,440
57,34,43,0.1681,220
58,35,36,0.0102,220
59,35,37,0.0497,220
60,37,39,0.106,220
61,37,40,0.168,220
62,38,37,0.0375,660
63,38,65,0.0986,440
64,39,40,0.0605,220
65,40,41,0.0487,220
66,40,42,0.183,220
67,41,42,0.135,220
68,42,49,0.1615,440
69,43,44,0.2454,220
70,44,45,0.0901,220
71,45,46,0.1356,220
72,45,49,0.186,220
73,46,47,0.127,220
74,46,48,0.189,220
75,47,49,0.0625,220
76,47,69,0.2778,220
77,48,49,0.0505,220
78,49,50,0.0752,220
79,49,51,0.137,220
80,49,54,0.144998276,438.4879725
81,49,66,0.04595,880
82,49,69,0.324,220
83,50,57,0.134,220
84,51,52,0.0588,220
85,51,58,0.0719,220
86,52,53,0.1635,220
87,53,54,0.122,220
88,54,55,0.0707,220
89,54,56,0.00955,220
90,54,59,0.2293,220
91,55,56,0.0151,220
92,55,59,0.2158,220
93,56,57,0.0966,220
94,56,58,0.0966,220
95,56,59,0.122426531,451.0460251
96,59,60,0.145,220
97,59,61,0.15,220
98,60,61,0.0135,440
99,60,62,0.0561,220
100,61,62,0.0376,220
101,62,66,0.218,220
102,62,67,0.117,220
103,63,59,0.0386,440
104,63,64,0.02,440
105,64,61,0.0268,220
106,64,65,0.0302,440
107,65,66,0.037,220
108,65,68,0.016,220
109,66,67,0.1015,220
110,68,69,0.037,440
111,68,81,0.0202,220
112,68,116,0.00405,440
113,69,70,0.127,440
114,69,75,0.122,440
115,69,77,0.101,220
116,70,71,0.0355,220
117,70,74,0.1323,220
118,70,75,0.141,220
119,71,72,0.18,220
120,71,73,0.0454,220
121,74,75,0.0406,220
122,75,77,0.1999,220
123,75,118,0.0481,220
124,76,77,0.148,220
125,76,118,0.0272,440
126,77,78,0.0124,220
127,77,80,0.033175896,643.2380952
128,77,82,0.0853,220
129,78,79,0.0244,220
130,79,80,0.0704,220
131,80,96,0.182,220
132,80,97,0.0934,220
133,80,98,0.108,220
134,80,99,0.206,220
135,81,80,0.037,220
136,82,83,0.03665,220
137,82,96,0.053,220
138,83,84,0.132,220
139,83,85,0.148,220
140,84,85,0.0641,220
141,85,86,0.123,220
142,85,88,0.102,220
143,85,89,0.173,220
144,86,87,0.2074,220
145,88,89,0.0712,440
146,89,90,0.032,660
147,89,91,0.032,220
148,89,92,0.0505,220
149,90,91,0.0505,660
150,91,92,0.1272,220
151,92,93,0.032,220
152,92,94,0.158,220
153,92,100,0.295,220
154,92,102,0.0559,220
155,93,94,0.0732,220
156,94,95,0.0434,220
157,94,96,0.0869,220
158,94,100,0.058,220
159,95,96,0.0547,220
160,96,97,0.0885,220
161,98,100,0.179,220
162,99,100,0.0813,220
163,100,101,0.1262,220
164,100,103,0.0525,440
165,100,104,0.204,220
166,100,106,0.229,220
167,101,102,0.112,220
168,103,104,0.1584,220
169,103,105,0.1625,220
170,103,110,0.1813,220
171,104,105,0.0378,220
172,105,106,0.0547,220
173,105,107,0.183,220
174,105,108,0.0703,220
175,106,107,0.183,220
176,108,109,0.0288,220
177,109,110,0.0762,220
178,110,111,0.0755,220
179,110,112,0.064,220
180,114,115,0.0104,220
